Step number	Time	VolQplus_planeLVOT	VolQminus_planeLVOT	VolQplus_planeOutflow	VolQminus_planeOutflow	dt	exp_dt	max_velocity	max_pressure
67	0.018915	0	142556	0	81995	0.000615	8.95387e-06	5509.4	0.00613466
68	0.019541	0	143633	0	90347.5	0.000626	7.68618e-06	5418.13	0.00637426
69	0.020178	0	143689	0	99003.8	0.000637	8.50364e-06	5530.97	0.00656556
70	0.020826	0	144636	0	107904	0.000648	8.47835e-06	5298.4	0.00671314
71	0.021485	0	144539	0	116968	0.000659	8.74795e-06	5334.55	0.0068442
72	0.022155	0	145420	0	126122	0.00067	9.23859e-06	4396.51	0.00690426
73	0.022836	0	145315	0	135296	0.000681	5.76014e-06	4630.42	0.00686784
74	0.023528	0	146405	0	144413	0.000692	1.06271e-05	2956.04	0.00680193
75	0.024231	0	146653	0	153385	0.000703	2.08563e-05	3519.23	0.00668707
76	0.024945	0	148164	0	162128	0.000714	1.94249e-05	4321.29	0.00658243
77	0.02567	0	148860	0	170583	0.000725	1.58414e-05	5397.29	0.0064874
78	0.026406	0	151010	0	178707	0.000736	1.29249e-05	5688.16	0.00639779
79	0.027153	0	152561	0	186446	0.000747	1.23177e-05	5545.36	0.00630949
80	0.027911	0	155708	0	193726	0.000758	1.26632e-05	4734.64	0.00636284
81	0.02868	0	158371	0	200528	0.000769	1.48426e-05	3310.06	0.00637904
82	0.02946	0	162800	0.649994	206800	0.00078	1.835e-05	3349.41	0.0065007
83	0.030251	0	166823	0.492085	212521	0.000791	1.80574e-05	3371.79	0.00651408
84	0.031053	0	172696	0.411319	217708	0.000802	1.78934e-05	3394.65	0.00665034
85	0.031866	0	177986	1.35981	222355	0.000813	1.75818e-05	3414.45	0.00665093
86	0.03269	0	184945	3.22897	226515	0.000824	1.72471e-05	3430.95	0.00677923
87	0.033525	0	191208	4.44928	230225	0.000835	1.2868e-05	3455.88	0.00678105
88	0.034371	0	199054	5.72206	233558	0.000846	1.64781e-05	3477.23	0.00689277
89	0.035228	0	205930	5.30694	236596	0.000857	1.61831e-05	3503.39	0.00687931
90	0.036096	0	214035	24.0639	239427	0.000868	1.58628e-05	3525.75	0.00696478
91	0.036975	0	221199	57.38	242135	0.000879	1.55956e-05	3578.4	0.00694756
92	0.037865	0	229370	10.438	244669	0.00089	1.53532e-05	4109.69	0.00701195
93	0.038766	0	236608	332.324	247590	0.000901	1.26979e-05	5987.49	0.00700204
94	0.039678	0	244550	1197.05	251077	0.000912	7.72794e-06	10824.7	0.00705531
95	0.040601	0	251468	3039.59	255713	0.000923	4.47827e-06	18199.3	0.00704049
96	0.0410488	0	259262	6635.83	262841	0.000447827	2.74097e-06	14773.8	0.00715674
97	0.0414966	0	262053	8926.27	266310	0.000447827	3.54728e-06	12978.6	0.00761983
98	0.0422061	0	265290	11110.5	269670	0.000709456	4.12315e-06	20285.9	0.00794571
99	0.0426184	0	269588	15686.5	276843	0.000412315	2.39421e-06	8899.96	0.00825753
100	0.0430307	0	272204	18754.9	281461	0.000412315	5.61083e-06	8754.49	0.00849063
101	0.0440197	0	274082	21976	286349	0.000989	5.32909e-06	23356.5	0.00856592
102	0.044353	0	279060	30472.3	299560	0.000333333	2.06374e-06	7625.78	0.0100182
103	0.0450197	0	280531	33541.1	303888	0.000666667	6.20631e-06	16545.1	0.0101395
104	0.0455197	0	282999	40360.9	313814	0.0005	2.73651e-06	12938.1	0.0103719
105	0.0460197	0	284459	44990.7	320886	0.0005	3.5157e-06	11734.6	0.0103147
106	0.0467228	0	285708	49468.9	327943	0.00070314	3.86414e-06	14745.2	0.0101122
107	0.0474957	0	287142	55115.1	337409	0.000772828	3.42887e-06	13627.2	0.00982833
